Film_title,Release_year,Director,Cast,Average_rating,Owner_rating,Genres,Runtime,Countries,Original_language,Spoken_languages,Description,Studios,Watches,List_appearances,Likes,Fans,½,★,★½,★★,★★½,★★★,★★★½,★★★★,★★★★½,★★★★★,Total_ratings,Film_URL,List_URL
Dune: Part Two,2024,Denis Villeneuve,"['Timothée Chalamet', 'Zendaya', 'Rebecca Ferguson', 'Javier Bardem', 'Josh Brolin', 'Austin Butler', 'Florence Pugh', 'Dave Bautista', 'Christopher Walken', 'Léa Seydoux', 'Stellan Skarsgård', 'Charlotte Rampling', 'Souheila Yacoub', 'Roger Yuan', 'Babs Olusanmokun', 'Alison Halstead', 'Giusi Merli', 'Kait Tenison', 'Tara Breathnach', 'Akiko Hitomi', 'Imola Gáspár', 'Alison Adnet', 'Hamza Baissa', 'Hassan Najib', 'Jasper Ryan-Carter', 'Elbooz Omar Ahmed Fathie', 'Abdelkarim Hussein Seli Mohamed Hassanin', 'Joseph Beddelem', 'Xavier Alba Royo', 'Rachid Abbad', 'Affif Ben Badra', 'Botond Bóta', 'Abdelaziz Boumane', 'Abdellah Echahbi', 'Zouhair Elakkari', 'Noureddine Hajoujou', 'Mohamed Mouraoui', 'Adil Achraf Sayd', 'Hamza Sayd', 'Hopi Grace', 'Havin Fathi', 'Kincsö Pethö', 'Cat Simmons', 'Burt Caesar', 'Remi Fadare', 'Amer El-Erwadi', 'Tedroy Newell', 'Oxa Hazel', 'Hajiyeva Pakiza', 'Leon Herbert', 'Sima Rostami', 'Yvonne Campbell', 'Joseph Charles', 'Vic Zander', 'Dylan Baldwin', 'Marcia Tucker', 'Nicola Brome', 'Kathy Owen', 'Huw Novelli', 'Moe Bar-El', 'Serhat Metin', 'Amra Mallassi', 'Adam Bloom', 'Luis Alkmim', 'Jordan Long', 'Omar A.K.', 'Zdeněk Dvořáček', 'Billy Clements', 'Anton Valensi', 'Lex Daniel', 'Dominic McHale', 'Paul Boyle', 'Niall White', 'Tony Cook', 'Gábor Szemán', 'Jonathan Gunning', 'Will Irvine', 'Alan Mehdizadeh', 'Rex Adams', 'Molly Mcowan', 'Ana Cilas', 'Kajsa Mohammar', 'Sára Bácsfalvi', 'Zsófia Kocsis', 'Matthew Sim', 'Steve Wall', 'Italo Amerighi', 'Tim Hilborne', 'Cecile Sinclair', 'Tracy Coogan', 'Zoe Kata Kaska', 'Jimmy Walker', 'Rand Faris', 'Fouad Humaidan', 'Manaf Irani', 'Dora Kápolnai-Schvab', 'Joelle', 'Anya Taylor-Joy', 'Peter Sztojanov Jr.']",4.43,nan,"['Adventure', 'Science Fiction']",167,['USA'],English,['English'],"Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe, Paul endeavors to prevent a terrible future only he can foresee.",['Legendary Pictures'],2223703,367021,995245,57000,2514,5252,3106,16869,19669,84727,121749,408644,423277,810131,1895938,https://letterboxd.com/film/dune-part-two/,https://letterboxd.com/fumilayo/films/
Jacqueline Novak: Get on Your Knees,2024,Natasha Lyonne,['Jacqueline Novak'],4.04,nan,['Comedy'],94,['USA'],English,['English'],"Comedian Jacqueline Novak delivers a funny and philosophical meditation on sex, coming-of-age and a certain body part in this intimate stand-up special.","['Animal Pictures', 'Irwin Entertainment', 'Novak']",6171,1049,2523,7,29,33,29,77,87,251,370,1037,591,1299,3803,https://letterboxd.com/film/jacqueline-novak-get-on-your-knees/,https://letterboxd.com/fumilayo/films/
Mean Girls,2024,"Arturo Perez Jr., Samantha Jayne","['Angourie Rice', 'Reneé Rapp', 'Auliʻi Cravalho', 'Jaquel Spivey', 'Avantika', 'Bebe Wood', 'Christopher Briney', 'Jenna Fischer', 'Busy Philipps', 'Tina Fey', 'Tim Meadows', 'Lindsay Lohan', 'Jon Hamm', 'Ashley Park', 'Connor Ratliff', 'Mahi Alam', 'John El-Jor', 'Brian Altemus', 'Megan Thee Stallion', 'Ben Wang', 'Alexis Frias', 'Isabella Bria Lopez', 'Morgen McKynzie', 'Veronica S. Taylor', 'Stephanie Mincone', 'Gabriella Cila', 'Jordan Gallimore', 'Ari Notartomaso', 'Camille Umoff', 'Kaylee Kaleinani', 'Allison Winn', 'Ben Heineman', 'Fernell Hogan', 'Calidore Robinson', 'Sofia Dobrushin', 'Grant Harrison Mateo', 'Amann Iqbal', 'Nahscha', 'Gage Roark', 'Soona Lee-Tolley', 'Janna Graham', 'Matilde Heckler', 'Francesca Castro', 'Nuri Park', 'Grace Slear', 'Izzy Bank', 'Kayla LaVine', 'James Jones', 'Garid Garcia', 'Jake Schwencke', 'Ellena Eshraghi', 'Kelsie Daniels', 'Elizabeth Witek', 'Alexandra Witek', 'Brooke Johnson', 'Meredith Dunbar', 'Hank Pekarsky', 'Sri', 'Veronica Merrell-Burriss', 'Vanessa Merrell', 'Jordi', 'Énola Bédard', 'Nia Sioux', 'Emely Moreno', 'Jazz Jennings', 'Pierson Wodzynski', 'Mars Avila', 'Alan Chow', 'Chris Olsen', 'Bailey B. Angelski', 'Joshua M. Baer', 'Caitlin M. Beecham', 'Samantha R. Borsari', 'Briannon E. Bowman', 'Ian A. Boyce', 'Daniela Cassano', 'Danielle K. Catalano', 'Ismael Chino', 'Gianna M. Cologna', 'Jason L. DeGroff', 'Kaylin E. DeGroff', 'Joshua P. Doody', 'Christiana J. Doyle', 'Calysta R. Eachus', 'Kasey L. Ericson', 'Timothy S. Fletcher', 'Orlando A. Galazara', 'Cameron T. Garde', 'Sean G. Haight', 'Ryan J. Horgan', 'Teresa Kissel', 'Christopher J. Lucey', 'Megan A. Macneil', 'Malachi I. McLean', 'Colin J. McTernan', 'Julien F. Miller', 'Lauren M. Molfetta', 'Meryem G. Oldro', 'Connor D. Paul', 'Victoria G. Russo', 'Olivia C. Tona', 'Anthony M. Varbaro', 'Nico A. Varone', 'Thomas R. Wilson', 'Haley Fitzgerald', 'Jordan Berkman', 'Jalen Forward', 'Charlize Glass', 'Adam Vesperman', 'Angelina Barbosa', 'Allison Bedell', 'Elyssa Cueto', 'Joanne Daquigan', 'Keilany Espinal', 'Kyle Hanagami', 'Dougal Herr', 'Megumi Iwama', 'Will Jewett', 'Darriel Johnakin', 'Emily Jo Jordan', 'Shannon Kelly', 'Matthew Kubitz', 'Yashira Maysonet', 'Andrew Mulet', 'Francis Bailey Munoz', 'Malia Murray', 'Diego Pasillas', 'Imani Peterson', 'Annelise Ritacca', 'Kai Rivera', 'Daniel Santiago', 'Hannah Seiden', 'Oriana Siphanoum', 'Effie Tutko', 'Keenan Cooks', 'Jonathan Zeizel']",2.61,nan,['Comedy'],113,['USA'],English,['English'],"New student Cady Heron is welcomed into the top of the social food chain by the elite group of popular girls called ‘The Plastics,’ ruled by the conniving queen bee Regina George and her minions Gretchen and Karen. However, when Cady makes the major misstep of falling for Regina’s ex-boyfriend Aaron Samuels, she finds herself prey in Regina’s crosshairs. As Cady sets to take down the group’s apex predator with the help of her outcast friends Janis and Damian, she must learn how to stay true to herself while navigating the most cutthroat jungle of all: high school.","['Little Stranger', 'Broadway Video', 'Paramount Pictures']",557187,84759,108868,517,15488,28752,24699,67723,64832,111904,65683,56943,12235,25672,473931,https://letterboxd.com/film/mean-girls-2024/,https://letterboxd.com/fumilayo/films/
Dave Chappelle: The Dreamer,2023,Stan Lathan,['Dave Chappelle'],3.24,nan,['Comedy'],57,['USA'],English,['English'],"From his onstage tackle to the slap heard round the world, Dave Chappelle lets loose in this freewheeling and unfiltered stand-up comedy special.",['Stan Lathan TV'],19546,1893,3966,1,267,348,385,1035,1324,3117,2558,2602,548,722,12906,https://letterboxd.com/film/dave-chappelle-the-dreamer/,https://letterboxd.com/fumilayo/films/
Wonka,2023,Paul King,"['Timothée Chalamet', 'Calah Lane', 'Keegan-Michael Key', 'Hugh Grant', 'Paterson Joseph', 'Olivia Colman', 'Tom Davis', 'Jim Carter', 'Rowan Atkinson', 'Matt Lucas', 'Mathew Baynton', 'Natasha Rothwell', 'Rakhee Thakrar', 'Rich Fulcher', 'Kobna Holdbrook-Smith', 'Simon Farnaby', 'Ellie White', 'Sally Hawkins', ""Colin O'Brien"", 'Freya Parker', 'Murray McArthur', 'Charlotte Ritchie', 'Phil Wang', 'Rufus Jones', 'Isy Suttie', 'Ian Bartholomew', 'Sophie Winkleman', 'Justin Edwards', 'Michael Abubakar', 'Tim FitzHigham', 'Jane Bertish', 'Tracy Ifeachor', 'Dominic Coleman', 'Muzz Khan', 'Ben Howard', 'Alison Pargeter', 'Bleu Woodward', 'Paul G. Raymond', 'Lola Shepelev', 'Marina Bye', 'Robyn Rose', ""Millie O'Donnell"", 'Susie Fairfax', 'Macie Blake', 'Ellie Blake', 'Matilda Tucker', 'Bertie Caplan', 'Gustave Die', 'Poppy Townsend White', 'Luan Gallagher', 'Pierre Bergman', 'Grant Crookes', 'Rene Costa']",3.23,nan,"['Comedy', 'Fantasy', 'Family']",117,"['UK', 'USA']",English,['English'],"Willy Wonka – chock-full of ideas and determined to change the world one delectable bite at a time – is proof that the best things in life begin with a dream, and if you’re lucky enough to meet Willy Wonka, anything is possible.","['Warner Bros. Pictures', 'Village Roadshow Pictures', 'The Roald Dahl Story Company', 'Heyday Films', 'Domain Entertainment']",1238912,147372,305030,1900,9974,23825,17985,73495,83134,241121,208931,232371,53492,79887,1024215,https://letterboxd.com/film/wonka/,https://letterboxd.com/fumilayo/films/
The Color Purple,2023,Blitz Bazawule,"['Fantasia Barrino', 'Taraji P. Henson', 'Danielle Brooks', 'Colman Domingo', 'Corey Hawkins', 'Phylicia Pearl Mpasi', 'Halle Bailey', 'Ciara', 'H.E.R.', 'David Alan Grier', 'Deon Cole', 'Jon Batiste', 'Louis Gossett Jr.', 'Tamela Mann', 'Aunjanue Ellis-Taylor', 'Elizabeth Marvel', 'Stephen Hill', 'Adetinpo Thomas', 'Tiffany Elle Burgess', 'Terrence J. Smith', 'Aba Arthur', 'Jeffrey Marcus', 'Jamaal Avery Jr.', 'Ailani Flowers', 'Emana Rachelle', 'Charles Green', 'Brad Raymond', 'P. Kofi McDonald', 'L. Warren Young', 'Zakiya Boyd', 'David Vaughn', 'Chase Steven Anderson', 'John L. Adams', 'Ashton Maxwell', 'Marvin Laviolette', 'Raphael Thomas', 'MaCai Arrington Griffin', 'James Carey', 'Whoopi Goldberg']",3.55,nan,['Drama'],141,['USA'],English,"['English', 'Zulu']","A decades-spanning tale of love and resilience and of one woman's journey to independence. Celie faces many hardships in her life, but ultimately finds extraordinary strength and hope in the unbreakable bonds of sisterhood.","['Warner Bros. Pictures', 'Harpo Films', 'Amblin Entertainment', 'Scott Sanders Productions', 'Quincy Jones Productions', 'Domain Entertainment']",99758,38456,28472,216,214,564,717,2981,5107,15282,17922,22914,8536,10884,85121,https://letterboxd.com/film/the-color-purple-2023/,https://letterboxd.com/fumilayo/films/
The Iron Claw,2023,Sean Durkin,"['Zac Efron', 'Jeremy Allen White', 'Harris Dickinson', 'Stanley Simons', 'Holt McCallany', 'Maura Tierney', 'Lily James', 'Michael Harney', 'Aaron Dean Eisenberg', 'Kevin Anton', 'Scott Innes', 'Cazzey Louis Cereghino', 'Maxwell Tyler Friedman', 'Brady Pierce', 'Ryan Nemeth', 'Jim Gleason', 'Chavo Guerrero Jr.', 'Garrett Hammond', 'Michael Papajohn', 'Jullian Dulce Vida', 'Leo Franich', 'Sam Franich', 'Grady Wilson', 'Valentine Newcomer', 'Silas Mason', 'Devin Imbraguglio', 'James Beard', 'Kristina Kingston', 'Brian Hite', 'Chelsea Edmundson', 'Romeo Newcomer', 'Terry J. Nelson', ""Cassidy O'Reilly"", 'Brett Beoubay', 'Mike Dell', 'Timothy Hinrichs', 'Ernest Marsh', 'Dane Alexander Peplinski', 'Christina Michelle Williams', 'Ronnie Yelverton']",4.1,nan,"['History', 'Drama']",132,"['UK', 'USA']",English,['English'],"The true story of the inseparable Von Erich brothers, who made history in the intensely competitive world of professional wrestling in the early 1980s. Through tragedy and triumph, under the shadow of their domineering father and coach, the brothers seek larger-than-life immortality on the biggest stage in sports.","['A24', 'BBC Film', 'Access Entertainment', 'House Productions']",810251,175516,311761,8500,366,1038,1012,6003,9788,46663,91922,254859,152924,147252,711827,https://letterboxd.com/film/the-iron-claw-2023/,https://letterboxd.com/fumilayo/films/
The Hunger Games: The Ballad of Songbirds & Snakes,2023,Francis Lawrence,"['Tom Blyth', 'Rachel Zegler', 'Peter Dinklage', 'Viola Davis', 'Josh Rivera', 'Dexter Sol Ansell', 'Rosa Gotzler', 'Clemens Schick', 'Fionnula Flanagan', 'Hunter Schafer', 'Ashley Liao', 'Athena Strates', 'Joshua Kantara', 'Amélie Hoeferle', 'Kaitlyn Akinpelumi', 'Florian Burgkart', 'Ayomide Adegun', 'Aaron Finn Schultz', 'Max Raphael', 'Mekyas Mulugeta', 'Emma Frieda Brüggler', 'Yalany Marschner', 'Serena Oexle', 'Anni Baumann', 'Flora Thiemann', 'Zoë Renee', 'Seyna Sylla', 'Lilly Cooper', 'Aamer Husain', 'Aminata Lucia Yade Toscano', 'Daniela Grubert', 'Michael Greco', 'Levi Strasser', 'Chieloka Jairus', 'Tim Torok', 'Varvara Kanellakopoulou', 'Jerome Lance', 'Mackenzie Lansing', 'Cooper Dillon', 'Hiroki Berrecloth', 'Irene Böhm', 'Knox Gibson', 'Sofia Sanchez', 'Luna Kuse', 'Kjell Brutscheidt', 'Dimitri Abold', 'Luna Steeples', 'Nick Benson', 'Marc Aden Gray', 'Isobel Jesper Jones', 'Dakota Shapiro', 'Vaughan Reilly', 'Honor Gillies', 'Eike Onyambu', 'Cameron MacConomy', 'Jason Schwartzman', 'Ghaith Saleh', 'Riley Chung', 'Denise Hansen', 'Scott Folan', 'Burn Gorman', 'Raphael Zari', 'Mona Vojacek Koper', 'Carl Spencer', 'Konstantin Taffet', 'George Somner', 'Steven McMichael', 'Jonas Martens', 'Kittipong Ace Cunjanagan', 'Kyra Reinert']",3.58,nan,"['Science Fiction', 'Drama', 'Action']",157,"['Germany', 'USA']",English,['English'],"64 years before he becomes the tyrannical president of Panem, Coriolanus Snow sees a chance for a change in fortunes when he mentors Lucy Gray Baird, the female tribute from District 12.","['Lionsgate', 'Color Force', 'about:blank', 'Studio Babelsberg']",1301383,148520,406337,6400,4615,11468,10382,43332,55559,171080,197269,299358,104474,170109,1067646,https://letterboxd.com/film/the-hunger-games-the-ballad-of-songbirds-snakes/,https://letterboxd.com/fumilayo/films/
Godzilla Minus One,2023,Takashi Yamazaki,"['Ryunosuke Kamiki', 'Minami Hamabe', 'Yuki Yamada', 'Munetaka Aoki', 'Hidetaka Yoshioka', 'Sakura Ando', 'Kuranosuke Sasaki', 'Saki Nakatani', 'Mio Tanaka', 'Yuya Endo', 'Kisuke Iida', 'Kenji Anan', 'Kenji Mizuhashi', 'Kunihiro Suda', 'Shota Taniguchi', 'Akio Nakadai', 'Ippei Sasaki', 'Ozuno Nakamura', 'Masaichi Wanibuchi', 'Sho Nishigaki', 'Fuma Sasaki', 'Tsutomu Osabe', 'Yuji Komatsu', 'Yosuke Minokawa', 'Sentarou Kusakabe', 'Kota Kawabata', 'Genki Furugen', 'Yuto Yoshikawa', 'Yuya Oshima', 'Hirotaka Akatsuma', 'Ryo Hamanaka', 'Kiyomi Aratani', 'Yukio Tsukamoto', 'Shoji Omiya', 'Michael Arias', 'Masataka Matsubara', 'Kentaro Furuyama', 'Takumi Matsui', 'Tetsu Hirahara', 'Hiroyuki Toritani', 'Seitaro Chiba', 'Tatsuki Oguma', 'Hidemasa Mase', 'Jun Ohnishi', 'Yuho Mochinaga', 'Daiki Ichikawa', 'Yasunori Ota', 'Ryota Tsuchihashi', 'Atsushi Saitou', 'Masayuki Yamada', 'Goro Sato', 'Keisuke Fujita', 'Yuta Wakabayashi', 'Koya Fukuda', 'Shunpeter Sugisaki', 'Yuki Takao', 'Yusuke Karita', 'Makoto Matsumoto', 'Shinji Nagashima', 'Akihiro Yamamoto', 'Hidehiko Yamada', 'Atomu Ito', 'Django Yamada', 'Gomez Hori', 'Shohei Abe', 'Gen Shimada', 'Masatoshi Kihara', 'Masaru Yahagi', 'Touta Tawaragi', 'Etsuji Harada', 'Senji Nakagi', 'Tetsunori Akira', 'Mao Ohno', 'Ami Kitamikado', 'Yoka', 'Mami Tokuda', 'Yukihide Ueda', 'Sho Tsuruta', 'Makoto Araki', 'Yamato Aizawa', 'Mizuki Hasegawa', 'Kisuke Inoue', 'Miki Mirai', 'Daichi Abe', 'Rikako Miura', 'Gohshuu', 'Yuko Onose', 'Seiji Okuda', 'Eisuke Sasai', 'Shinsuke Kasai', 'Saori', 'Takato Yonemoto', 'Yoshiyo Naka', 'Ikumu Shigeta', 'Keita Chiba', 'Masato Nakano', 'Kiyoshi Uchida', 'Aya Sakura', 'Ayane Kamoi', 'Risa Miyake', 'Mami Aoki']",4.07,nan,"['Horror', 'Science Fiction', 'Action']",124,['Japan'],Japanese,"['Japanese', 'English']","In postwar Japan, Godzilla brings new devastation to an already scorched landscape. With no military intervention or government help in sight, the survivors must join together in the face of despair and fight back against an unrelenting horror.","['TOHO', 'TOHO Studios', 'Robot Communications']",714535,169372,299625,8300,833,2118,1938,8215,12092,46175,81294,197324,131977,140640,622606,https://letterboxd.com/film/godzilla-minus-one/,https://letterboxd.com/fumilayo/films/
Scavengers Reign,2023,"Joseph Bennett, Charles Huettner","['Sunita Mani', 'Wunmi Mosaku', 'Alia Shawkat', 'Bob Stephenson', 'Ted Travelstead']",4.49,nan,"['Drama', 'Animation']",302,['USA'],English,['English'],When a deep space freighter is damaged by a solar flare its surviving crew are stranded on a beautiful and unforgiving planet. They begin to learn the true nature of this planet as they try to survive long enough to escape or be rescued.,"['Titmouse', 'Green Street Pictures']",29116,4212,15825,384,11,18,18,78,91,483,1125,4800,5829,10946,23399,https://letterboxd.com/film/scavengers-reign/,https://letterboxd.com/fumilayo/films/
